"FBG_1","FBG_2","FBG_3","FBG_4","FB1_31","FB1_33","FB1_16","IGerM","FB7_19","FB7_20","FB7_21","FB7_22","FB7_23","FB7_24","FB7_25","FB7_26","FB7_27","FB7_38","FB7_39","FB2_36","FB2_37","Kommentar"
"LA56",2011,"H2","40435_2",7,1,9,8,1,0,0,1,0,0,0,0,0,1,0.6,13.5,10.1,"Kratzer"
"LA56",2011,"H2","40435_3",7,1,9,8,1,0,0,1,0,0,0,0,0,1,0.7,16,13.7,"Kratzer"
"LA56",2011,"H2","40713_2",6,1,9,8,1,0,0,1,0,0,0,0,0,1,3.1,19,22.8,"Kratzer"
"LA56",2011,108,10813,4,2,9,8,1,0,0,1,0,0,0,0,0,1,9.5,54.2,23,"Klingenkratzer"
"LA56",2011,"H4",40623,4,2,9,8,1,0,0,0,1,0,0,0,0,1,15.1,53.2,22.1,"Klingenkratzer"
"LA56",2011,"H2","14_1",5,2,9,8,1,0,0,1,0,0,0,0,0,1,4.3,33.9,18.9,"Klingenkratzer"
"LA56",2011,103,10264,4,4,9999,19,1,0,0,0,0,0,0,1,0,1,193.4,66.8,56.4,"Klopfstein"
"LA56",2011,103,10404,4,2,9,22,1,0,0,1,0,0,0,0,0,1,5.6,42.9,18.4,"Klinge"
"LA56",2011,"ProPu NO",11129,4,2,9,22,1,0,0,1,0,0,0,0,0,1,8.8,59.4,23,"Klinge"
"LA56",2011,302,30120,4,2,9,22,1,0,0,1,0,0,0,0,0,1,12.2,56.8,23.5,"Klinge"
"LA56",2011,302,30502,6,2,9,22,1,0,0,1,0,0,0,0,0,1,1.1,20.8,14.9,"Klingenfragment"
"LA56",2011,"-",40042,5,2,9,22,1,0,0,1,0,0,0,0,0,1,3.3,35.9,16.2,"Klinge"
"LA56",2011,403,40572,7,2,9,22,1,0,0,1,0,0,0,0,0,1,0.4,12.5,8.1,"Klingenfragment"
"LA56",2011,406,40995,3,2,9,22,1,0,0,1,0,0,0,0,0,1,17.1,95.6,25.3,"Klinge mit Gebrauchsretusche am Distalende"
"LA56",2011,101,"10077_1",5,2,9,22,1,0,0,0,1,0,0,0,0,1,3.9,33.9,20.8,"Klingenfragment"
"LA56",2011,101,"10077_2",4,2,9,22,1,0,0,1,0,0,0,0,0,1,2.1,24.8,17.7,"Klingenfragment"
"LA56",2011,101,"10077_3",5,2,9,22,1,0,0,0,1,0,0,0,0,1,1.4,36.8,11.3,"Klingenfragment"
"LA56",2011,101,"10077_4",6,2,9,22,1,0,0,1,0,0,0,0,0,1,0.8,17.3,12.8,"Klingenfragment"
"LA56",2011,"H3","40333_1",4,2,9,22,1,0,0,0,1,0,0,0,0,1,4.3,50.2,17.2,"Klinge"
"LA56",2011,"H3","40333_2",5,2,9,22,1,0,0,1,0,0,0,0,0,1,2.1,35.3,15.8,"Klinge"
"LA56",2011,"H3","40333_3",5,2,9,22,1,0,0,1,0,0,0,0,0,1,1.9,42.8,11.6,"Klinge"
"LA56",2011,"H2","7_1",4,2,9,22,1,0,0,1,0,0,0,0,0,1,11.4,56.8,19.3,"Klingenfragment"
"LA56",2011,"H2","7_2",4,2,9,22,1,0,0,0,1,0,0,0,0,1,8.5,49.4,18.2,"Klingenfragment"
"LA56",2011,"H2","7_3",4,2,9,22,1,0,0,1,0,0,0,0,0,1,3.5,49,12.2,"Klingenfragment"
"LA56",2011,"H2","7_4",5,2,9,22,1,0,0,0,1,0,0,0,0,1,4.4,34.5,23.2,"Klingenfragment"
"LA56",2011,"H2","7_5",5,2,9,22,1,0,0,0,1,0,0,0,0,1,4.1,36.7,14.6,"Klingenfragment"
"LA56",2011,"H2","7_6",5,2,9,22,1,0,0,1,0,0,0,0,0,1,2,31.6,13.3,"Klingenfragment"
"LA56",2011,"H2","7_7",7,2,9,22,1,0,0,1,0,0,0,0,0,1,0.2,21.3,5.1,"Klingenfragment"
"LA56",2011,101,10089,3,3,"09HF",24,1,0,0,1,0,0,0,0,0,1,103.3,87.9,50.5,"retuschierter Trümmer"
"LA56",2011,102,10142,5,3,9,24,1,0,0,1,0,0,0,0,0,1,9.6,25.6,25.1,"retuschierter Trümmer"
"LA56",2011,"PlaPu",10514,4,3,9,24,1,0,0,0,1,0,0,0,0,1,23.5,45.7,28.3,"retuschierter Trümmer"
"LA56",2011,"ProPu NO",11049,4,3,9,24,1,0,0,1,0,0,0,0,0,1,50,58.3,46.7,"Trümmer mit Gebrauchsspur"
"LA56",2011,"PlaPu",20680,4,3,9,24,1,0,0,0,0,1,0,0,0,1,35.9,54.2,36.2,"retuschierter Trümmer"
"LA56",2011,"ProPuO",20972,5,3,9,24,1,0,0,1,0,0,0,0,0,1,6.1,39.5,18.5,"Trümmer mit Retusche"
"LA56",2011,"ProPu O",20974,5,3,9,24,1,0,0,1,0,0,0,0,0,1,8.1,35.2,33.2,"Trümmer mit Gebrauchsspur"
"LA56",2011,"PlaPu",30602,4,3,9,24,1,0,0,1,0,0,0,0,0,1,24.4,48.6,39,"retuschierter Trümmer"
"LA56",2011,404,40806,4,3,9,24,1,0,0,1,0,0,0,0,0,1,12.5,29.9,36.4,"Trümmer mit Gebrauchsspur"
"LA56",2011,"H2",40924,5,3,9,24,1,0,0,1,0,0,0,0,0,1,3.7,41.9,18.5,"Trümmer mit Gebrauchsspur"
"LA56",2011,404,40928,4,3,9,24,1,0,0,0,1,0,0,0,0,1,29.2,50.9,23.8,"retuschierter Trümmer"
"LA56",2011,405,40961,5,3,9,24,1,0,0,0,1,0,0,0,0,1,11.1,34.6,35.5,"Trümmer mit Gebrauchsspur"
"LA56",2011,407,41058,6,3,9,24,1,0,0,1,0,0,0,0,0,1,1.1,19.5,13,"Trümmer mit Gebrauchsspur"
"LA56",2011,101,"10089_1",5,3,9,24,1,0,0,1,0,0,0,0,0,1,4.7,31.1,20.8,"Trümmer mit Retusche"
"LA56",2011,101,"10089_3",4,3,"09da",24,1,0,0,1,0,0,0,0,0,1,20.4,47,37.7,"Trümmer mit Retusche"
"LA56",2011,"H2","11_1",6,3,9,24,1,0,0,1,0,0,0,0,0,1,2.9,27.8,20.9,"Trümmer mit Retusche"
"LA56",2011,"H2","11_1",7,3,9,24,1,0,0,1,0,0,0,0,0,1,0.4,11.7,11.2,"Trümmer mit Retusche"
"LA56",2011,"H2","11_2",5,3,9,24,1,0,0,1,0,0,0,0,0,1,3.3,34.3,18.7,"Trümmer mit Retusche"
"LA56",2011,"H2","11_2",6,3,9,24,1,0,0,1,0,0,0,0,0,1,1.9,24.6,20.5,"Trümmer mit Retusche"
"LA56",2011,"H2","11_3",7,3,9,24,1,0,0,1,0,0,0,0,0,1,0.9,16.5,10.3,"Trümmer mit Retusche"
"LA56",2011,"H2","11_4",5,3,9,24,1,0,0,1,0,0,0,0,0,1,8.2,32.9,18.8,"Trümmer mit Retusche"
"LA56",2011,"H2","11_5",5,3,9,24,1,0,0,0,1,0,0,0,0,1,9.3,34.9,30.5,"Trümmer mit Retusche"
"LA56",2011,"H2","11_6",5,3,9,24,1,0,0,1,0,0,0,0,0,1,4.9,23.1,32.7,"Trümmer mit Retusche"
"LA56",2011,"H2","11_7",4,3,9,24,1,0,0,1,0,0,0,0,0,1,7.1,51.5,18.5,"Trümmer mit Retusche"
