Siedlungsnr;Stelle;Positionsnr;Individualnr;Formblattnr;Rohmat1;Rohmat2;Rohmat_Farbe;Oberfl_art_Spaltfl;Strukturen_Material;Rinde;Nat_Fl;Nat_Fl_Abroll;Therm_Art;Therm_Zeit;Erhaltung_Rechteck;Länge;Breite;Dicke;Gewicht;Mod_Erhaltung;Grundform;Erhaltung_Schlagr;Schlagr_Verlauf;Schlagflrest_Länge;Schlagflrest_Breite;Schlagflrest_Erhaltung;Schlagflrest_Art;Schlagflrest_Schlagaugen;Rinde_natSprungfl;Negat_Bulbusnegat_Dorsal;Negat_Dorsal;Dorsalflpräp;Präpgrat_Verlauf;Distal_Zustand;Schlagm_Ventral;Dorsalflneg_Abbaur;Mod_Art_1;Mod_Art_2;Mod_Art_3;Mod_Art_4;Mod_Art_5;Mod_Art_6;Mod_Reihe_1;Mod_Reihe_2;Mod_Reihe_3;igerm1
AE;0285;049;001;01;05;06;02;2;3;0;0;0;0;0;2;48;15;6;4,5;2;2;6;4;6;3;1;1;2;0;99;3;0;0;0;3;1;13;31;  ;  ;  ;  ;2; ; ;03
AE;0285;049;002;01;06;05;15;2;1;0;1;2;8;5;1;26;20;5;2,4;0;1;1;3;7;3;1;1;2;2;98;98;0;0;1;9;0;  ;  ;  ;  ;  ;  ;0; ; ;21
AE;0285;049;003;01;06;;02;2;7;2;1;1;0;0;1;54;27;17;27,1;0;1;1;2;11;6;1;2;2;1;99;99;0;0;2;4;1;  ;  ;  ;  ;  ;  ;0; ; ;21
AE;0288;037;001;01;06;05;04;1;3;0;3;2;0;0;1;44;35;12;17,1;3;1;1;4;24;9;1;2;2;1;1;98;0;0;1;7;8;09;  ;  ;  ;  ;  ;0; ; ;11
AE;0340;017;001;01;03;06;03;1;3;0;0;0;0;0;2;38;27;5;8;3;2;4;3;999;999;0;0;0;0;0;3;0;0;0;0;3;31;31;38;05;  ;  ;0; ; ;07
AE;0340;029;001;01;11;;16;4;8;4;5;2;0;0;1;43;35;23;41;0;3; ; ;NA;NA; ; ; ; ;NA;NA; ; ; ; ; ;31;  ;  ;  ;  ;  ; ; ; ;23
AE;0340;038;001;01;05;;02;2;7;4;0;2;0;0;2;29;22;9;3,8;0;2;4;7;999;999;0;0;0;1;0;99;3;1;0;0;4;31;  ;  ;  ;  ;  ; ; ; ;22
AE;0348;013;001;01;05;06;02;2;3;0;0;0;0;0;1;31;29;8;6,9;0;1;1;3;10;4;1;3;1;0;2;0;0;0;1;1;1;  ;  ;  ;  ;  ;  ;0; ; ;21
AE;0348;013;002;01;05;06;02;2;3;0;0;0;0;0;6;19;14;2;0,5;0;1;8;7;999;999;0;0;0;0;98;98;0;0;0;0;0;31;  ;  ;  ;  ;  ; ; ; ;21
AE;0348;013;003;01;11;;16;4;8;0;5;3;5;5;9;19;13;6;0,9;0;1;8;7;999;999;0;0;0;4;98;98;0;0;0;0;0;  ;  ;  ;  ;  ;  ;0; ; ;21
