"FBG_1","FBG_3","FBG_4","FBG_5","FBG_6","FB1_17","FB1_18","FB1_19","FB1_20","FB1_21","FB1_22","FB1_24","FB1_25","FB1_26","FB1_27","FB1_28","FB1_29","FB1_30","FB1_32","FB1_33","FB2_35","FB2_38","FB2_45","FB2_46","FB2_44","FB2_42","FB2_52","FB1_23","FB2_54","FB2_55","FB2_56","FB2_57","FB2_53","FB2_58","IGerM","FB1_16","FB2_43","FB2_49","FB2_51","FB2_59","FB2_60"
"AE","285","49","3","1","2",2,17,2,1,1,0,0,1,54,27,17,27.1,0,1,1,2,11,6,1,1,0,1,99,99,0,0,"5",1,"21","06",999,4,4,"","0"
"AE","288","37","1","1","4",1,13,0,3,2,0,0,1,44,35,12,17.1,3,1,1,4,24,9,1,1,0,1,1,98,0,0,"3",9,"11","0605",999,9,9,"09","0"
"AE","340","17","1","1","3",1,13,0,0,0,0,0,2,38,27,5,8,3,2,4,3,999,999,0,0,1,1,0,3,0,0,"0",3,"7","0306",999,1,1,"31313805","0"
"AE","340","29","1","1","16",4,18,4,5,2,0,0,1,43,35,23,41,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"23","11",999,NA,NA,"31","0"
"AE","340","38","1","1","2",2,17,4,0,2,0,0,2,29,22,9,3.8,0,2,4,0,999,999,0,0,1,1,0,99,3,1,"0",4,"22","05",999,1,1,"31","0"
"AE","348","13","1","1","2",2,13,0,0,0,0,0,1,31,29,8,6.9,0,1,1,3,10,4,1,4,4,1,2,0,0,0,"3",1,"21","0506",999,0,0,"","0"
"AE","348","13","2","1","2",2,13,0,0,0,0,0,6,19,14,2,0.5,0,1,8,0,999,999,0,0,1,1,98,98,0,0,"0",0,"21","0506",999,1,1,"31","0"
"AE","348","13","3","1","16",4,18,0,5,3,5,5,9,19,13,6,0.9,0,1,8,0,999,999,0,0,1,4,98,98,0,0,"0",0,"21","11",999,1,1,"","0"
"AE","348","13","4","1","10",2,11,0,0,0,0,0,6,29,19,3,1.3,1,1,8,3,999,999,0,0,1,1,98,98,0,0,"0",0,"1","0306",999,1,1,"01","0"
"AE","353","14","1","1","16",4,18,0,5,0,4,2,6,17,16,7,1.7,0,1,6,6,10,4,2,3,9,1,98,98,0,0,"0",0,"21","11",999,9,9,"","0"
"AE","384","15","1","1","2",2,13,0,0,0,0,0,2,27,21,5,2.7,0,2,2,4,5,3,1,3,0,1,0,2,0,0,"0",1,"22","0506",999,0,4,"31","0"
"AE","453","14","1","1","16",4,0,0,5,3,4,2,6,18,15,4,1.1,0,2,8,0,999,999,0,0,1,4,0,0,0,0,"0",0,"22","11",999,1,1,"","0"
"AE","463","17","1","1","16",4,18,0,5,3,4,2,6,17,13,2,0.5,0,3,9,0,999,999,0,0,1,4,98,98,0,0,"0",0,"24","11",999,1,1,"","0"
"AE","463","17","2","1","16",4,0,0,5,3,4,2,6,10,7,2,0.2,0,3,9,0,999,999,0,0,1,4,98,98,0,0,"0",0,"24","11",999,1,1,"","0"
"AE","463","17","3","1","16",4,18,0,5,3,4,2,6,16,10,2,0.3,0,3,9,0,999,999,0,0,1,4,98,98,0,0,"0",0,"24","11",999,1,1,"","0"
"AE","463","17","4","1","16",4,18,3,5,3,7,2,9,26,25,5,2,4,1,6,0,999,999,6,9,9,4,98,98,8,6,"0",0,"21","11",999,0,0,"","0"
"AE","463","17","5","1","16",4,18,3,5,3,7,2,3,31,10,7,1.6,4,1,5,0,5,3,5,9,9,4,98,98,8,6,"3",0,"21","11",999,0,0,"","0"
"AE","463","17","6","1","16",4,18,3,5,3,7,2,9,33,26,7,4.2,4,1,6,0,11,6,5,9,9,4,98,98,8,6,"0",0,"21","11",999,9,9,"","0"
"AE","463","17","7","1","16",4,18,3,5,3,7,2,9,21,20,4,1.8,4,1,9,0,999,999,6,9,9,4,98,98,8,6,"9",0,"21","11",999,1,1,"","0"
"AE","463","17","8","1","3",2,15,0,0,0,0,0,1,21,16,5,1.5,0,1,1,2,8,2,1,1,0,1,0,99,0,0,"3",0,"21","0605",999,0,0,"16","0"
"AE","463","17","9","1","2",2,12,0,0,0,0,0,2,34,14,3,1.9,0,2,4,0,999,999,0,0,1,1,0,3,0,0,"0",1,"22","0506",999,1,1,"3131","0"
"AE","464","20","1","1","3",2,15,4,0,3,0,0,6,56,34,17,33.7,0,1,6,1,17,6,1,1,0,1,1,2,0,0,"0",3,"21","0605",999,0,0,"1631","0"
"AE","494","43","1","1","16",1,18,0,1,1,1,6,9,37,24,10,8,0,3,9,0,999,999,0,0,1,4,98,98,0,0,"0",0,"25","11",999,1,1,"","0"
"AE","494","96","1","1","11",2,0,2,3,1,0,0,9,12,9,5,0.6,0,3,9,0,999,999,0,0,1,4,98,98,0,0,"0",0,"25","06",999,1,1,"","0"
"AE","495","74","1","1","3",3,0,0,0,0,0,0,6,30,16,4,1.4,3,1,9,4,999,999,0,0,1,1,0,99,0,0,"0",0,"1","0103",999,1,1,"01","0"
"AE","496","34","1","1","2",2,17,0,0,0,0,0,2,74,21,8,11.1,3,2,4,4,999,999,0,0,1,1,0,3,0,0,"0",1,"7","0506",999,1,1,"313105","0"
"AE","505","17","1","1","10",2,12,0,0,0,0,0,6,28,12,3,1.2,3,1,8,0,999,999,0,0,1,1,0,98,0,0,"0",0,"1","0605",999,1,1,"01","0"
"AE","512","22","1","1","2",2,12,0,0,0,0,0,2,24,18,3,0.9,0,1,2,3,8,2,1,4,0,1,1,1,0,0,"0",0,"21","0506",999,0,0,"","0"
"AE","512","22","2","1","9",2,0,4,0,2,0,0,1,18,18,2,0.7,0,1,1,3,10,3,1,3,0,1,0,99,0,0,"3",0,"21","03",999,0,0,"","0"
"AE","524","32","1","1","3",2,12,0,0,0,0,0,1,33,20,6,3.4,0,1,1,1,25,6,1,3,0,1,99,98,0,0,"3",0,"21","0605",999,4,4,"","0"
"AE","530","25","1","1","10",3,0,3,5,1,0,0,3,22,16,5,2.1,0,1,2,2,13,5,1,3,0,1,99,0,0,0,"0",1,"21","06",999,0,4,"","0"
"AE","587","31","1","1","4",2,13,0,0,0,0,0,6,30,28,9,8.9,0,1,4,6,999,999,0,0,1,1,99,2,0,0,"0",0,"21","0605",999,1,1,"383111","2"
"AE","600","14","1","1","1",3,0,0,0,0,0,0,3,21,12,5,1.2,0,1,6,0,5,4,5,4,0,1,99,99,0,0,"0",0,"21","0506",999,0,0,"","0"
"AE","676","15","1","1","11",2,0,0,0,0,0,0,1,12,9,1,0.2,0,1,9,3,5,1,1,999,0,1,98,98,0,0,"3",0,"21","0605",3,0,4,"31","0"
"AE","708","13","1","1","2",2,12,0,0,0,0,0,6,18,13,3,0.8,3,2,8,0,999,999,0,0,1,1,98,98,0,0,"0",0,"1","0506",999,1,1,"01","0"
"AE","708","14","1","1","10",2,0,4,0,2,0,0,6,26,15,4,1.3,3,1,8,0,999,999,0,0,1,2,0,0,0,0,"0",0,"1","0306",999,1,1,"01","0"
"AE","708","15","1","1","3",1,12,0,0,0,0,0,6,22,17,3,0.9,2,1,8,0,999,999,0,0,1,1,0,0,0,0,"0",0,"1","0605",999,1,1,"01","0"
"AE","708","20","1","1","10",1,12,0,0,0,0,0,6,33,16,3,1.4,3,2,7,4,999,999,0,0,1,1,0,2,0,0,"3",0,"1","10",999,1,1,"01","0"
"AE","708","26","1","1","2",2,17,0,0,0,0,0,6,32,18,4,1.8,3,1,8,0,999,999,0,0,1,1,0,0,0,0,"0",0,"1","0506",999,1,1,"01","0"
"AE","708","27","1","1","10",1,0,0,5,2,0,0,6,22,16,3,0.8,2,1,8,0,999,999,0,0,1,4,0,0,0,0,"0",0,"1","0605",999,1,1,"01","0"
"AE","708","28","1","1","10",2,16,0,1,2,0,0,6,22,17,3,1.2,4,1,8,0,999,999,0,0,1,1,0,0,0,0,"0",0,"1","0605",999,1,1,"01","0"
"AE","708","35","1","1","2",2,15,0,1,2,0,0,6,17,15,3,0.7,1,1,8,0,999,999,0,0,1,2,0,0,0,0,"0",0,"1","0506",999,1,1,"01","0"
"AE","716","11","1","1",NA,NA,NA,NA,NA,NA,NA,7,NA,999,999,999,999,5,1,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","05",999,NA,NA,"01","0"
"AE","716","34","1","1","3",1,0,0,0,0,0,0,6,31,18,4,1.6,2,2,8,5,999,999,0,0,1,1,0,2,0,0,"0",0,"1","0605",999,1,1,"01","0"
"AE","821","20","1","1","2",2,0,0,0,0,0,0,3,22,19,4,1.9,0,2,4,2,999,999,0,0,1,1,0,99,0,0,"0",4,"22","0506",999,1,1,"31","0"
"AE","924","9","1","1","15",2,12,0,1,2,0,0,9,39,28,11,11.7,0,3,9,0,999,999,0,0,1,4,98,98,0,0,"0",0,"24","0605",999,1,1,"31","0"
"AE","1041","7","1","1","16",4,18,2,2,1,1,6,1,21,14,11,2.4,0,3,9,0,999,999,0,0,1,4,98,98,0,0,"0",0,"25","06",999,1,1,"","0"
"AE","1041","20","1","1","3",2,13,0,0,0,0,0,6,26,22,5,2.7,0,1,6,4,15,4,1,3,4,1,99,1,0,0,"0",1,"21","0605",999,0,4,"31","0"
"AE","1084","6","1","1","10",2,15,0,0,0,0,0,2,20,18,5,1.5,0,2,2,3,7,4,1,5,0,1,0,99,0,0,"0",4,"22","0605",999,0,4,"","0"
"AE","1096","6","1","1","2",2,12,4,2,2,0,0,1,53,31,13,24.5,0,1,1,6,8,6,1,4,4,2,99,98,0,0,"5",9,"21","05",999,4,4,"","0"
"AE","1146","13","1","1","16",4,18,0,0,0,2,2,6,28,20,5,3.5,0,2,2,4,9,4,3,5,0,1,2,1,0,0,"0",0,"22","11",999,9,9,"","0"
"AE","1146","21","1","1","3",2,15,0,0,0,0,0,6,46,39,11,17.2,3,1,8,0,999,999,0,0,1,1,99,2,6,5,"0",9,"7","0605",999,1,1,"0531","0"
"AE","1180","15","1","1","3",2,13,0,1,2,0,0,1,53,40,9,14.5,0,1,1,1,9,5,1,3,0,2,99,99,0,0,"3",0,"21","0605",999,0,0,"31","0"
"AE","1180","38","1","1","2",2,13,4,2,2,0,0,1,67,26,18,23.1,0,1,1,4,20,13,1,3,4,1,99,0,1,3,"0",7,"21","05",999,0,4,"31","0"
"AE","1180","38","2","1","2",2,12,0,0,0,0,0,2,38,19,5,4,0,2,4,0,999,999,0,0,1,1,0,3,0,0,"0",1,"22","0506",999,1,1,"31","0"
"AE","1185","13","1","1","1",2,17,0,1,2,0,0,1,34,17,11,6.1,0,1,1,4,4,3,1,9,0,1,99,1,6,2,"5",0,"21","0506",999,9,9,"31","0"
"AE","1199","8","1","1","2",2,16,0,0,0,0,0,1,39,20,9,5.9,0,1,1,3,6,3,6,9,0,1,99,99,6,1,"3",9,"21","0506",999,0,4,"16","0"
"AE","1199","10","1","1","9",2,13,0,1,0,0,0,6,40,11,8,3.3,3,2,8,0,999,999,0,0,1,1,99,1,0,0,"0",4,"2","0306",999,1,1,"310211","2"
"AE","1199","10","2","1","2",2,12,0,0,0,0,0,2,21,14,5,1.5,3,2,4,3,999,999,0,0,1,1,0,99,0,0,"0",0,"8","0506",999,1,1,"04","0"
"AE","1199","41","1","1","3",2,13,0,0,0,0,0,2,39,29,7,7.6,3,2,6,3,12,6,1,3,0,1,2,1,0,0,"0",1,"9","0605",999,0,4,"06","0"
"AE","1199","41","2","1","2",2,11,4,0,2,0,0,6,27,18,6,2.7,0,1,2,2,12,6,3,3,0,1,0,1,0,0,"0",9,"21","05",999,0,4,"","0"
"AE","1199","41","3","1","2",3,0,0,0,0,0,0,6,27,13,3,0.9,3,2,8,0,999,999,0,0,1,1,0,2,0,0,"0",0,"1","0109",999,1,1,"01","0"
"AE","1225","8","1","1","2",2,12,0,0,0,0,0,2,18,17,4,0.9,0,1,2,3,998,998,1,999,0,1,99,99,0,0,"0",3,"21","0506",3,0,4,"","0"
"AE","1233","10","1","1","2",2,13,0,1,2,0,0,2,35,27,9,10.6,0,2,2,3,12,5,1,3,0,1,1,1,0,0,"0",1,"22","0506",999,9,9,"3131","0"
"AE","1233","10","2","1","3",1,13,0,0,0,0,0,2,34,23,5,5.9,3,2,2,4,9,4,1,3,0,1,2,1,0,0,"0",1,"8","0605",999,0,4,"100431","2"
"AE","1233","25","1","1","2",2,17,4,0,3,0,0,2,24,16,4,1.9,3,2,4,0,999,999,0,0,1,1,0,99,0,0,"0",1,"4","0506",999,1,1,"1412","2"
"AE","1236","13","1","1","2",2,16,0,2,2,0,0,2,32,29,8,7,3,1,2,2,7,3,1,3,0,2,0,99,0,0,"0",9,"9","0506",999,0,4,"3106","2"
"AE","1253","20","1","1","2",2,17,0,1,2,0,0,2,82,53,45,284,3,5,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"19","0506",999,NA,NA,"15","0"
"AE","1254","13","1","1","7",2,0,0,0,0,0,0,6,30,22,6,3.9,1,2,6,4,7,3,1,4,0,1,99,2,0,0,"0",1,"8","03",999,9,9,"31043131","2"
"AE","1268","25","1","1","4",2,12,4,5,2,0,0,3,42,29,10,12.4,3,1,2,5,998,998,6,9,4,1,0,2,0,0,"0",0,"7","05",999,4,4,"05","0"
"AE","1295","7","1","1","3",2,0,4,0,2,0,0,3,31,17,6,3.5,0,1,3,0,999,999,0,0,1,3,0,0,0,0,"9",0,"21","0305",999,1,1,"","0"
"AE","1295","15","1","1","2",3,12,0,0,0,0,0,3,22,20,6,3,2,1,2,6,8,5,1,4,0,1,99,99,0,0,"0",0,"8","0506",999,0,4,"04","0"
